state,district,vote,name,party,bill,bill_text
FL,12,No,Gus Bilirakis,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
VA,1,No,Robert Wittman,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OH,5,No,Robert Latta,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IL,11,Yes,Bill Foster,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IN,7,Yes,André Carson,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,14,Yes,Jackie Speier,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
LA,1,No,Steve Scalise,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
VA,11,Yes,Gerald Connolly,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
KY,2,No,Brett Guthrie,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CT,4,Yes,James Himes,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,50,No,Duncan Hunter,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
AZ,2,Yes,Ann Kirkpatrick,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MO,3,No,Blaine Luetkemeyer,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NM,3,Yes,Ben Luján,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,4,No,Tom McClintock,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,22,No,Pete Olson,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
ME,1,Yes,Chellie Pingree,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
FL,8,No,Bill Posey,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TN,1,No,Phil Roe,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OR,5,No,Kurt Schrader,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
PA,15,No,Glenn Thompson,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NV,1,Yes,Dina Titus,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NY,20,Yes,Paul Tonko,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OH,11,Yes,Marcia Fudge,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IL,5,Yes,Mike Quigley,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,27,Yes,Judy Chu,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,3,Yes,John Garamendi,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
FL,22,Yes,Ted Deutch,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
GA,14,No,Tom Graves,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NY,23,No,Tom Reed II,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
AL,2,No,Martha Roby,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
AL,5,No,Mo Brooks,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
AL,7,Yes,Terri Sewell,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
AZ,4,No,Paul Gosar,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
AZ,6,No,David Schweikert,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
AR,1,No,Rick Crawford,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
AR,3,No,Steve Womack,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,37,Yes,Karen Bass,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CO,3,No,Scott Tipton,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
FL,11,No,Daniel Webster,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
FL,24,Yes,Frederica Wilson,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
GA,7,No,Rob Woodall,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
GA,8,No,Austin Scott,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IL,16,No,Adam Kinzinger,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IN,8,No,Larry Bucshon,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
LA,2,Yes,Cedric Richmond,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MD,1,No,Andy Harris,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MA,9,Yes,William Keating,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MI,2,No,Bill Huizenga,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MI,3,No,Justin Amash,Independent,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MS,4,No,Steven Palazzo,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MO,4,No,Vicky Hartzler,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MO,7,No,Billy Long,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OH,6,No,Bill Johnson,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OH,15,No,Steve Stivers,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OH,7,No,Bob Gibbs,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
PA,16,No,Mike Kelly,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
RI,1,Yes,David Cicilline,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
SC,3,No,Jeff Duncan,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TN,3,No,Chuck Fleischmann,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TN,4,No,Scott DesJarlais,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,17,No,Bill Flores,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
VA,9,No,Morgan Griffith,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
WA,3,No,Jaime Herrera Beutler,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
WV,1,No,David McKinley,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
WI,7,No,Sean Duffy,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NV,2,No,Mark Amodei,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OR,1,Yes,Suzanne Bonamici,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
KY,4,No,Thomas Massie,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
WA,1,Yes,Suzan DelBene,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NJ,10,Yes,Donald Payne Jr.,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,1,No,Doug LaMalfa,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
