state,district,vote,name,party,bill,bill_text
GA,7,No,Rob Woodall,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
GA,8,No,Austin Scott,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IL,16,No,Adam Kinzinger,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IN,8,No,Larry Bucshon,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
LA,2,Yes,Cedric Richmond,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MD,1,No,Andy Harris,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MA,9,Yes,William Keating,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MI,2,No,Bill Huizenga,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MI,3,No,Justin Amash,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MS,4,No,Steven Palazzo,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MO,4,No,Vicky Hartzler,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MO,7,No,Billy Long,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
OH,6,No,Bill Johnson,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
OH,15,No,Steve Stivers,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
OH,7,No,Bob Gibbs,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
PA,16,No,Mike Kelly,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
RI,1,Yes,David Cicilline,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
SC,3,No,Jeff Duncan,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TN,3,No,Charles “Chuck” Fleischmann,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TN,4,No,Scott DesJarlais,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TX,17,No,Bill Flores,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
VA,9,No,Morgan Griffith,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
WA,3,No,Jaime Herrera Beutler,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
WV,1,No,David McKinley,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
WI,7,No,Sean Duffy,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NV,2,No,Mark Amodei,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
OR,1,Yes,Suzanne Bonamici,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
KY,4,No,Thomas Massie,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
WA,1,Yes,Suzan DelBene,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NJ,10,Yes,Donald Payne Jr.,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,1,No,Doug LaMalfa,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,2,Yes,Jared Huffman,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,7,Yes,Ami Bera,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,8,No,Paul Cook,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,15,Yes,Eric Swalwell,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,26,Yes,Julia Brownley,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,29,Yes,Tony Cárdenas,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,36,Yes,Raul Ruiz,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,41,Yes,Mark Takano,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,47,Yes,Alan Lowenthal,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,51,Not Voting,Juan Vargas,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,52,Yes,Scott Peters,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,3,No,Ted Yoho,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,21,Yes,Lois Frankel,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
GA,9,No,Doug Collins,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
HI,2,Yes,Tulsi Gabbard,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IL,10,Yes,Bradley “Brad” Schneider,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IL,13,No,Rodney Davis,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IL,17,Yes,Cheri Bustos,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IN,2,No,Jackie Walorski,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IN,5,No,Susan Brooks,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
KY,6,No,Garland “Andy” Barr,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MA,4,Yes,Joseph Kennedy III,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MI,5,Yes,Daniel Kildee,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MO,2,No,Ann Wagner,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NC,8,No,Richard Hudson,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NC,11,No,Mark Meadows,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NC,2,No,George Holding,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NH,2,Yes,Ann Kuster,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NV,4,Yes,Steven Horsford,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NY,6,Yes,Grace Meng,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NY,8,Yes,Hakeem Jeffries,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NY,18,Yes,Sean Maloney,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NY,27,No,Chris Collins,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
OH,2,No,Brad Wenstrup,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
OH,3,Yes,Joyce Beatty,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
OH,14,No,David Joyce,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
OK,2,No,Markwayne Mullin,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
PA,10,No,Scott Perry,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
PA,8,Yes,Matthew Cartwright,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
SC,7,No,Tom Rice,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TX,14,No,Randy Weber,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TX,20,Yes,Joaquin Castro,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TX,25,No,Roger Williams,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TX,33,Yes,Marc Veasey,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TX,34,Yes,Filemon Vela,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
UT,2,No,Chris Stewart,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
WA,6,Yes,Derek Kilmer,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
WA,10,Yes,Denny Heck,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
WI,2,Yes,Mark Pocan,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IL,2,Yes,Robin Kelly,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MO,8,No,Jason Smith,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MA,5,Yes,Katherine Clark,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
AL,1,No,Bradley Byrne,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NJ,1,Yes,Donald Norcross,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NC,12,Not Voting,Alma Adams,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
AL,6,No,Gary Palmer,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
AR,2,No,French Hill,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
AR,4,No,Bruce Westerman,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
AZ,7,Yes,Ruben Gallego,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,11,Yes,Mark DeSaulnier,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,31,Yes,Pete Aguilar,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,33,Yes,Ted Lieu,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,35,Yes,Norma Torres,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CO,4,No,Ken Buck,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
GA,1,No,Buddy Carter,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
GA,10,No,Jody Hice,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
GA,11,Not Voting,Barry Loudermilk,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
GA,12,No,Rick Allen,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IL,12,No,Mike Bost,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
LA,5,Not Voting,Ralph Abraham,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
LA,6,No,Garret Graves,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MA,6,Yes,Seth Moulton,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MI,4,No,John Moolenaar,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MI,12,Yes,Debbie Dingell,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MI,14,Yes,Brenda Lawrence,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MN,6,No,Tom Emmer,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NC,7,No,David Rouzer,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NJ,12,Yes,Bonnie Watson Coleman,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NY,1,No,Lee Zeldin,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NY,4,Yes,Kathleen Rice,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NY,21,Yes,Elise Stefanik,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NY,24,No,John Katko,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
PA,2,Yes,Brendan Boyle,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TX,4,No,John Ratcliffe,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TX,23,No,Will Hurd,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TX,36,No,Brian Babin,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
VA,8,Yes,Donald Beyer,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
WA,4,No,Dan Newhouse,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
WI,6,No,Glenn Grothman,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
WV,2,No,Alex Mooney,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NC,6,No,Mark Walker,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MS,1,No,Trent Kelly,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IL,18,No,Darin LaHood,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
OH,8,No,Warren Davidson,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
KY,1,No,James Comer,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
PA,3,Yes,Dwight Evans,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
AZ,1,Yes,Tom O’Halleran,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
AZ,5,No,Andy Biggs,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,17,Yes,Ro Khanna,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,20,Yes,Jimmy Panetta,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,24,Yes,Salud Carbajal,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,44,Yes,Nanette Barragán,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,46,Yes,Luis Correa,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
DE,0,Yes,Lisa Blunt Rochester,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,1,No,Matt Gaetz,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,2,No,Neal Dunn,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,4,No,John Rutherford,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,5,Yes,Al Lawson,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,7,Yes,Stephanie Murphy,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,9,Yes,Darren Soto,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,10,Yes,Val Demings,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,13,Yes,Charlie Crist,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,18,No,Brian Mast,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,19,Not Voting,Francis Rooney,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
GA,3,No,Drew Ferguson IV,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IL,8,Yes,Raja Krishnamoorthi,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IN,3,No,Jim Banks,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IN,9,No,Trey Hollingsworth,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
KS,1,No,Roger Marshall,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
LA,3,No,Clay Higgins,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
LA,4,No,Mike Johnson,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MD,4,Yes,Anthony Brown,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MD,8,Yes,Jamie Raskin,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MI,1,No,Jack Bergman,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MI,10,No,Paul Mitchell,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NC,13,No,Ted Budd,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NE,2,No,Don Bacon,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NJ,5,Yes,Josh Gottheimer,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NY,3,Yes,Thomas Suozzi,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NY,13,Yes,Adriano Espaillat,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
PA,1,Yes,Brian Fitzpatrick,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
PA,11,No,Lloyd Smucker,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TN,8,No,David Kustoff,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TX,15,Yes,Vicente Gonzalez,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TX,19,No,Jodey Arrington,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
VA,4,Yes,Donald McEachin,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
WA,7,Yes,Pramila Jayapal,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
WI,8,No,Mike Gallagher,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
WY,0,No,Liz Cheney,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
KS,4,No,Ron Estes,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
MT,0,No,Greg Gianforte,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
SC,5,No,Ralph Norman Jr.,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,34,Yes,Jimmy Gomez,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
UT,3,No,John Curtis,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
PA,17,Yes,Conor Lamb,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
AZ,8,No,Debbie Lesko,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
TX,27,No,Michael Cloud,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
OH,12,No,Troy Balderson,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
OK,1,No,Kevin Hern,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
NY,25,Yes,Joseph Morelle,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
PA,5,Yes,Mary Scanlon,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
PA,7,Yes,Susan Wild,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
AZ,9,Yes,Greg Stanton,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,10,Yes,Josh Harder,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,21,Yes,TJ Cox,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,25,Yes,Katie Hill,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,39,Yes,Gilbert Cisneros,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,45,Yes,Katie Porter,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,48,Not Voting,Harley Rouda,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CA,49,Yes,Mike Levin,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CO,2,Yes,Joe Neguse,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CO,6,Yes,Jason Crow,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
CT,5,Yes,Jahana Hayes,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,6,No,Michael Waltz,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,15,No,Ross Spano,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,17,No,Gregory Steube,Republican,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,26,Yes,Debbie Mucarsel-Powell,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
FL,27,Yes,Donna Shalala,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
GA,6,Yes,Lucy McBath,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IA,1,Yes,Abby Finkenauer,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
IA,3,Yes,Cynthia Axne,Democrat,Climate Action Now Act,Do you think that the U.S. should remain a participant in the Paris Climate Accord to counter the climate crisis?
